ticker,date,regular_close,min_to_5pct,min_to_10pct,min_to_20pct,min_to_30pct,peak_pct,peak_minute,peak_price,ten_pct_within_2min
CPHI,2026-07-21,8.61,0,0,0,112,91.17,137,16.46,1
CYCU,2026-07-30,1.611,0,0,0,23,86.22,30,3,1
ZYBT,2026-07-20,6.15,0,0,0,0,85.37,0,11.4,1
HUDI,2026-08-07,0.7225,0,0,1,1,79.93,16,1.3,1
WAFU,2026-08-10,1.4366,0,0,0,0,69.85,118,2.44,1
YMT,2026-07-24,0.299,0,0,1,2,66.66,8,0.4983,1
FCUV,2026-07-31,11.4001,0,0,3,4,64.65,153,18.77,1
CELZ,2026-08-05,0.6714,0,0,1,1,57.88,9,1.06,1
STKH,2026-07-22,1.6806,0,0,3,3,54.96,44,2.6043,1
UCL,2026-08-10,0.745,0,0,0,0,51.68,1,1.13,1
WLDS,2026-07-27,2.89,0,0,3,5,50.52,10,4.35,1
MDXH,2026-08-13,0.4623,0,0,0,2,47.52,58,0.682,1
EPOW,2026-08-11,0.55,0,0,9,151,45.45,151,0.8,1
GTEC,2026-08-11,0.5558,0,0,1,3,39.92,12,0.7777,1
BIOT,2026-07-31,0.4752,0,0,1,1,35.96,6,0.6461,1
NIVF,2026-07-31,0.8101,0,0,1,2,35.79,3,1.1,1
SXTC,2026-08-04,10.032,0,0,0,1,33.49,1,13.392,1
ANEL,2026-08-04,25.57,0,0,5,6,33.44,7,34.12,1
VCIG,2026-07-29,0.3899,0,0,2,2,31.06,2,0.511,1
MGRX,2026-07-30,0.2909,0,1,1,1,226.57,96,0.95,1
AMIX,2026-07-28,2.76,1,1,3,5,79.71,20,4.9599,1
CLRO,2026-08-06,9.74,1,1,87,89,79.67,113,17.5,1
AMZE,2026-07-27,0.3071,1,1,61,62,49.79,66,0.46,1
FGI,2026-08-12,4.73,1,1,28,47,47.15,47,6.96,1
LGHL,2026-07-23,1.25,0,1,1,1,46.4,15,1.83,1
YOUL,2026-08-12,0.4695,0,1,1,3,34.19,5,0.63,1
YJ,2026-08-07,3.61,1,1,1,3,32.96,4,4.8,1
TOPP,2026-08-10,0.2881,0,1,2,2,31.9,2,0.38,1
CDTG,2026-07-20,1.27,1,1,2,2,30.71,2,1.66,1
BIVIW,2026-08-12,0.231,2,2,2,121,51.6,226,0.3502,0
PSNYW,2026-07-17,5.2501,2,2,2,3,48.38,7,7.79,0
VVOS,2026-08-04,0.4657,0,2,4,4,38.5,15,0.645,0
OFAL,2026-07-16,1.214,2,2,3,3,35.91,10,1.65,0
XPON,2026-08-14,3.66,1,2,3,8,35.79,26,4.97,0
DSY,2026-08-06,3.45,3,3,3,4,137.97,40,8.21,0
INHD,2026-08-07,5.19,3,3,27,30,73.41,33,9,0
AXTX,2026-07-30,4.67,2,3,5,6,67.02,38,7.8,0
RDGT,2026-08-06,0.7994,1,3,3,3,50.11,5,1.2,0
FIEE,2026-08-14,5.0,1,3,5,24,44.2,54,7.21,0
DCX,2026-07-29,1.12,2,3,4,14,41.96,28,1.59,0
SHPH,2026-07-20,3.04,3,3,4,9,38.16,17,4.2,0
VSA,2026-08-10,3.28,3,3,3,4,35.67,9,4.45,0
HIHO,2026-07-20,0.9384,4,4,5,5,80.09,39,1.69,0
AXTL,2026-07-30,1.805,4,4,5,6,67.31,37,3.02,0
AXTU,2026-07-30,2.505,3,4,5,6,67.27,38,4.19,0
SOUX,2026-08-05,10.7,4,4,4,4,52.34,182,16.3,0
OXBR,2026-08-13,1.26,4,4,4,4,38.89,4,1.75,0
PMAX,2026-07-16,1.7594,0,4,5,18,34.14,28,2.36,0
AKAN,2026-08-13,5.03,3,5,6,6,131.21,52,11.63,0
ZNB,2026-07-21,3.0048,0,5,6,6,126.17,11,6.796,0
MGRX,2026-08-05,0.4324,5,5,5,5,82.7,72,0.79,0
ABTS,2026-08-03,1.0307,5,5,6,6,67.85,6,1.73,0
CPOP,2026-08-06,0.358,1,5,5,7,66.37,144,0.5956,0
GENK,2026-08-10,1.81,5,5,5,5,59.67,5,2.89,0
MGRX,2026-08-13,0.5333,5,5,5,5,50.01,24,0.8,0
LGCL,2026-08-12,1.48,3,5,6,7,46.62,13,2.17,0
PIII,2026-08-10,12.835,5,5,5,6,43.75,7,18.45,0
KUST,2026-07-21,0.976,1,5,32,32,43.44,38,1.4,0
SMCL,2026-07-21,8.91,5,5,6,8,42.87,14,12.73,0
SMCX,2026-07-21,6.455,5,5,5,8,42.53,14,9.2,0
CBRZ,2026-08-12,6.735,5,5,10,28,35.26,31,9.11,0
ATCH,2026-07-22,0.2095,5,5,9,13,34.94,13,0.2827,0
AXTI,2026-07-30,46.9,3,5,27,35,34.05,38,62.87,0
APPS,2026-08-04,9.5,5,5,44,166,32.11,188,12.55,0
QNST,2026-08-06,15.16,5,5,6,46,31.93,74,20,0
RKDA,2026-08-12,0.7,1,5,5,9,31.43,9,0.92,0
AMRC,2026-08-03,22.69,5,5,11,14,31.34,83,29.8,0
UPC,2026-07-31,3.2,6,6,6,8,159.06,23,8.29,0
ITOC,2026-08-14,0.3134,4,6,6,6,72.24,7,0.5398,0
CRE,2026-07-29,2.415,6,6,7,7,44.93,7,3.5,0
INLF,2026-07-27,3.25,5,6,9,12,44.31,55,4.69,0
INLF,2026-08-04,3.31,5,6,18,18,44.11,25,4.77,0
VELL,2026-08-11,5.34,6,6,18,33,40.45,127,7.5,0
SINT,2026-08-11,1.8,6,6,6,7,37.78,7,2.48,0
YIBO,2026-07-28,1.15,6,6,6,23,35.65,23,1.56,0
LESL,2026-08-12,1.29,3,6,8,9,31.78,9,1.7,0
ETON,2026-08-13,40.72,5,6,8,9,30.13,9,52.99,0
ENSC,2026-08-03,0.2812,7,7,8,8,160.7,74,0.7331,0
SNTG,2026-07-21,2.09,7,7,7,151,95.2,184,4.0797,0
DARE,2026-08-13,1.37,6,7,7,8,65.69,115,2.27,0
CURI,2026-08-12,2.785,5,7,21,38,46.14,223,4.07,0
FIGS,2026-08-06,11.25,6,7,9,56,32.44,59,14.9,0
NWGL,2026-08-10,0.3002,6,7,147,147,31.75,149,0.3955,0
INHD,2026-07-31,18.1841,8,8,36,36,85.71,40,33.77,0
OMH,2026-07-24,0.4981,7,8,11,11,54.59,12,0.77,0
FRGT,2026-08-05,3.42,8,8,8,9,45.91,9,4.99,0
DRMA,2026-08-11,1.1,9,9,10,18,62.73,120,1.79,0
GLXG,2026-07-16,1.07,9,9,10,11,47.66,11,1.58,0
PLBY,2026-08-10,1.205,8,9,9,54,32.78,54,1.6,0
GXAI,2026-08-12,0.8752,10,10,10,13,80.53,75,1.58,0
DUO,2026-07-21,0.5704,8,10,11,12,54.28,14,0.88,0
HCTI,2026-07-29,1.555,9,10,10,10,41.48,10,2.2,0
SLGB,2026-07-31,0.5338,10,10,21,25,34.88,26,0.72,0
NXXT,2026-08-13,0.3158,9,10,10,23,33.0,23,0.42,0
FBGL,2026-07-23,0.5252,10,10,63,63,31.38,63,0.69,0
AAOG,2026-08-06,3.78,10,10,11,12,30.16,12,4.92,0
FGMC,2026-07-17,8.29,11,11,35,38,77.91,196,14.7484,0
CIGL,2026-07-31,0.6217,0,11,11,12,62.46,31,1.01,0
LBGJ,2026-07-31,3.56,9,11,13,13,34.83,13,4.8,0
MIMI,2026-07-21,2.18,9,11,11,11,32.11,11,2.88,0
NXTT,2026-08-04,11.29,11,11,12,12,31.09,12,14.8,0
SLGB,2026-07-20,0.5115,11,12,42,42,124.83,190,1.15,0
DFNS,2026-07-27,13.54,4,12,13,20,56.57,98,21.2,0
GSUN,2026-07-24,0.2095,9,12,13,14,38.42,15,0.29,0
MGIH,2026-08-10,1.701,13,13,25,234,35.21,237,2.3,0
DOCS,2026-08-06,20.62,13,14,18,18,92.39,123,39.67,0
SLGB,2026-07-30,0.5611,14,14,15,18,31.56,18,0.7382,0
STFS,2026-07-22,3.79,13,15,16,18,241.42,74,12.94,0
ZYBT,2026-07-22,1.41,14,15,16,17,63.83,19,2.31,0
VTAK,2026-07-21,0.49,15,15,15,15,42.86,16,0.7,0
SPWR,2026-07-28,0.2837,0,15,18,19,33.94,19,0.38,0
CRWG,2026-08-11,21.91,9,15,17,66,32.82,67,29.1,0
CRWU,2026-08-11,4.2,9,15,27,66,32.59,67,5.5688,0
CWVX,2026-08-11,18.2,9,15,27,66,32.53,68,24.12,0
UCAR,2026-07-23,1.01,15,15,15,16,30.66,16,1.3197,0
NAMI,2026-08-06,2.91,14,16,16,16,149.13,133,7.2497,0
DXF,2026-07-28,0.4405,16,16,16,26,66.58,56,0.7338,0
VTAK,2026-08-06,0.26,16,16,16,17,61.12,18,0.4189,0
CCTG,2026-08-07,0.7,16,16,17,17,52.86,22,1.07,0
GAUZ,2026-07-20,0.3761,16,16,16,17,49.16,17,0.561,0
PLAG,2026-07-22,0.6348,17,17,33,44,181.98,132,1.79,0
BIYA,2026-07-24,1.94,17,17,17,17,46.31,35,2.8385,0
SFWL,2026-07-24,0.7001,17,17,46,46,39.97,46,0.9799,0
FF,2026-08-10,5.17,15,17,19,19,37.33,19,7.1,0
EPOW,2026-08-07,0.49,16,17,17,17,30.61,17,0.64,0
SXTC,2026-07-24,5.128,18,18,19,19,56.01,23,8,0
NXXT,2026-07-17,0.2802,16,18,19,25,53.46,32,0.43,0
BDRX,2026-08-04,1.52,18,18,19,20,41.44,20,2.1499,0
VCIG,2026-07-16,1.1,19,19,20,23,31.82,23,1.45,0
NEXN,2026-08-12,10.74,14,19,25,25,30.35,25,14,0
IPW,2026-08-03,4.779,20,20,26,114,79.7,129,8.5878,0
PAVS,2026-08-05,4.96,19,20,20,20,52.22,49,7.55,0
XCH,2026-08-14,0.2548,19,20,20,20,44.82,20,0.369,0
ZJYL,2026-08-07,2.15,21,21,34,34,121.4,176,4.76,0
GIPR,2026-07-21,1.0,22,22,23,24,43.0,24,1.43,0
FEAM,2026-08-07,1.53,22,22,23,23,35.95,23,2.08,0
GDTC,2026-07-24,0.99,23,23,23,24,66.67,26,1.65,0
FTRK,2026-08-05,0.3103,23,23,24,25,34.39,25,0.417,0
RCON,2026-07-20,0.3905,24,24,24,25,117.67,26,0.85,0
CIGL,2026-08-11,0.5888,23,25,27,27,47.16,30,0.8665,0
BIYA,2026-07-17,4.16,19,25,75,86,33.89,87,5.57,0
GNPX,2026-08-03,4.75,22,25,28,29,31.58,29,6.25,0
IVDA,2026-08-12,0.3598,25,26,29,90,85.46,112,0.6673,0
BW,2026-08-10,8.89,26,26,26,27,42.05,239,12.628,0
GCTK,2026-07-30,0.7723,3,26,32,36,32.07,36,1.02,0
IPST,2026-08-14,2.2001,26,26,27,28,31.36,28,2.89,0
NUWE,2026-07-29,1.9,18,27,38,39,115.79,104,4.1,0
INHD,2026-08-04,9.05,27,27,27,28,59.78,30,14.46,0
CPOP,2026-08-07,0.373,25,27,27,81,39.84,93,0.5216,0
HTZ,2026-08-06,2.02,13,27,102,210,32.67,228,2.68,0
PAVS,2026-07-23,5.9,0,27,29,29,31.86,29,7.78,0
BIYA,2026-07-16,3.021,28,28,29,29,71.8,153,5.19,0
FBGL,2026-08-04,0.57,29,29,29,164,57.89,164,0.9,0
AZI,2026-08-05,1.01,29,29,30,31,47.52,32,1.49,0
RUBI,2026-07-31,2.195,29,29,30,46,41.23,47,3.1,0
RECT,2026-08-05,1.27,29,29,33,35,37.8,35,1.75,0
HKPD,2026-07-16,0.4203,30,30,30,31,38.33,32,0.5814,0
MX,2026-07-23,3.64,30,30,30,30,35.71,30,4.94,0
OCG,2026-07-23,1.6,30,30,30,30,33.12,30,2.13,0
NRSN,2026-07-31,0.468,23,31,31,32,41.3,112,0.6613,0
JELD,2026-08-03,1.42,30,31,32,35,33.8,38,1.9,0
TC,2026-07-21,1.7,31,32,34,34,37.06,34,2.33,0
SBEV,2026-08-04,0.3488,32,32,33,34,32.88,35,0.4635,0
DXST,2026-08-03,2.26,33,33,167,167,90.27,175,4.3,0
KUST,2026-07-30,1.145,32,33,39,40,63.32,209,1.87,0
YXT,2026-08-12,4.52,27,33,34,35,37.17,35,6.2,0
NTCL,2026-07-22,3.4,32,33,34,35,34.41,35,4.57,0
AIXI,2026-07-20,1.21,15,33,34,37,32.23,37,1.6,0
CISS,2026-07-24,0.5243,34,34,35,35,82.49,37,0.9568,0
FBGL,2026-07-28,0.54,34,34,34,34,48.15,34,0.8,0
ANY,2026-07-23,1.76,16,35,87,114,48.3,120,2.61,0
AEHL,2026-07-21,10.2128,26,36,36,36,116.2,43,22.08,0
BJDX,2026-08-04,1.03,36,37,39,51,50.49,168,1.55,0
JDZG,2026-07-31,5.85,37,37,39,39,33.85,41,7.83,0
HFFG,2026-08-10,1.56,5,38,121,122,47.43,127,2.2999,0
IMTE,2026-08-11,0.4701,34,38,78,78,32.44,78,0.6226,0
CAPR,2026-08-13,4.23,38,40,42,52,86.76,84,7.9,0
FGMCR,2026-07-17,0.83,39,40,40,40,71.08,209,1.42,0
USIO,2026-08-12,2.36,29,40,67,68,39.83,68,3.2999,0
CELZ,2026-08-06,1.16,4,40,51,52,33.62,53,1.55,0
NVVE,2026-07-21,7.17,45,45,45,46,45.75,56,10.45,0
DOMO,2026-07-22,3.145,45,45,45,45,31.96,45,4.15,0
PWCM,2026-07-31,2.12,49,49,50,52,46.69,55,3.1099,0
HWH,2026-08-10,1.4454,47,50,50,50,72.27,51,2.49,0
RCON,2026-07-24,0.46,50,50,58,59,41.85,59,0.6525,0
BAOS,2026-08-11,0.727,51,51,51,53,170.98,223,1.97,0
CYAB,2026-08-03,0.3062,34,51,82,83,108.56,100,0.6386,0
IPW,2026-07-23,7.4178,51,51,52,54,39.53,60,10.35,0
RAIN,2026-08-03,1.57,52,52,52,135,294.9,146,6.2,0
ONFO,2026-08-13,2.3188,15,53,69,82,56.98,133,3.64,0
BYAH,2026-08-06,3.22,40,55,60,63,42.86,64,4.6,0
PETZ,2026-08-11,1.36,56,56,56,56,65.44,64,2.25,0
ONMD,2026-07-28,0.7005,55,56,59,73,57.03,128,1.1,0
INLF,2026-07-21,2.2299,49,56,57,58,40.81,58,3.14,0
GCTK,2026-07-16,0.5,57,57,57,57,60.0,81,0.8,0
FEED,2026-08-12,0.413,57,57,57,57,59.15,88,0.6573,0
PFSA,2026-07-31,1.06,58,58,58,58,50.0,59,1.59,0
GMM,2026-07-28,2.46,58,58,59,59,47.97,60,3.64,0
AEHL,2026-07-22,8.72,54,59,60,64,53.76,168,13.408,0
RCON,2026-07-21,0.3989,1,59,63,77,44.05,78,0.5746,0
BGI,2026-07-21,0.57,60,60,61,61,42.11,62,0.81,0
YXT,2026-08-07,5.93,60,60,61,62,34.06,69,7.95,0
MTEN,2026-08-10,1.08,45,61,64,72,59.26,85,1.72,0
BANL,2026-08-04,4.548,61,61,64,65,38.52,69,6.3,0
ADVB,2026-07-17,5.03,62,63,65,65,56.06,93,7.85,0
ONCO,2026-07-29,0.7614,63,63,63,63,37.9,63,1.05,0
BIYA,2026-07-27,4.175,50,64,112,113,46.35,119,6.11,0
MTNB,2026-07-24,0.2414,65,65,65,66,78.13,97,0.43,0
PAPL,2026-07-20,0.8775,65,65,69,82,51.57,100,1.33,0
